Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
AFGHANISTAN,223,19,134,57,7,6,0.01,4
ALBANIA,879,22,853,4,0,0,0.29,37
ALGERIA,22967,572,7767,11198,1129,2301,0.74,422
ANDORRA,143,0,143,0,0,0,2.16,0
ANGOLA,2654,0,1174,270,75,1135,0.18,416
ANGUILLA,26,0,26,0,0,0,2.26,0
ANTARCTIC FISHERIES,1,0,1,0,0,0,0.84,63
ANTIGUA & BARBUDA,95,0,95,0,0,0,1.2,40
ARGENTINA,36466,352,17375,17688,754,297,0.98,487
ARMENIA,966,0,212,713,41,0,0.31,50
ARUBA,657,0,657,0,0,0,7.12,65
AUSTRALIA,88586,52780,21980,12686,1020,120,4.57,2836
AUSTRIA,17968,3909,9183,4359,517,0,2.24,463
AZERBAIJAN,7846,0,3078,4524,71,173,0.96,184
BAHAMAS,428,1,427,0,0,0,1.42,209
BAHRAIN,3798,0,524,3261,12,0,5.91,292
BANGLADESH,8851,363,2648,5159,681,0,0.07,198
BARBADOS,333,0,282,17,34,0,1.24,167
BELARUS,14388,807,4308,9027,245,0,1.44,0
BELGIUM,31232,7268,14759,8232,973,0,3.06,5558
BELIZE,122,0,122,0,0,0,0.48,14
BENIN,495,0,461,0,34,0,0.07,17
BERMUDA,144,0,144,0,0,0,2.28,16
BHUTAN,105,40,44,0,22,0,0.18,1
BOSNIA & HERZEGOVINA,3644,2581,886,82,96,0,0.97,7
BOTSWANA,1050,547,503,0,0,0,0.59,9
BRAZIL,92019,13811,65127,6245,5294,1542,0.52,3348
BRITISH VIRGIN ISLANDS,29,0,29,0,0,0,1.41,0
BRUNEI (DARUSSALAM),1229,0,246,793,31,159,3.68,124
BULGARIA,12668,7796,2878,1711,284,0,1.59,168
BURKINA FASO,272,0,265,0,7,0,0.02,15
BURUNDI,56,3,54,0,0,0,0.01,5
CAMBODIA,614,0,614,0,0,0,0.05,11
CANADA,143967,33051,63181,44894,1740,1102,4.65,1869
CAPE VERDE,64,0,64,0,0,0,0.14,32
CAYMAN ISLANDS,128,0,128,0,0,0,3.01,8
CENTRAL AFRICAN REPUBLIC,67,0,67,0,0,0,0.02,24
CHAD,47,0,47,0,0,0,0.01,15
