Country,Total
Australia,427426
Austria,75469
Belarus,120141
Belgium,148039
Bulgaria,76218
Canada,613599
Croatia,22772
Cyprus,6522
Czechia,172347
Denmark,75740
Estonia,27160
Finland,67537
France,562725
Germany,1152180
Greece,104588
Hungary,78142
Iceland,3381
Ireland,55197
Italy,518701
Japan,1295604
Kazakhstan,343665
Latvia,19200
Liechtenstein,236
Lithuania,30617
Luxemburg,13135
Malta,2520
Monaco,109
Netherlands,227948
New Zealand,67153
Norway,47495
Poland,451016
Portugal,64536
Romania,189482
Russia,2519560
Slovakia,58213
Slovenia,17220
Spain,307392
Sweden,71033
Switzerland,55304
Turkey,226957
Ukraine,801154
United Kingdom,783560
United States of America,6486344
